[2025-11-28 10:04:07] [INFO] 📍 Запрос от 127.0.0.1: GET /students
[2025-11-28 10:04:07] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 10:04:07] [INFO] 📍 Запрос от 127.0.0.1: GET /events
[2025-11-28 10:04:07] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 10:04:07] [INFO] 📍 Запрос от 127.0.0.1: GET /portfolio
[2025-11-28 10:04:08] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 10:04:08] [INFO] 📍 Запрос от 127.0.0.1: GET /groups
[2025-11-28 10:04:08] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 10:04:08] [INFO] 📍 Запрос от 127.0.0.1: GET /students
[2025-11-28 10:04:08] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 10:04:08] [INFO] 📍 Запрос от 127.0.0.1: GET /students
[2025-11-28 10:04:09] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 10:04:09] [INFO] 📍 Запрос от 127.0.0.1: GET /teachers
[2025-11-28 10:04:09] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 10:04:09] [INFO] 📍 Запрос от 127.0.0.1: GET /teachers
[2025-11-28 10:04:12] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 10:04:12] [INFO] 📍 Запрос от 127.0.0.1: GET /dashboard
[2025-11-28 10:04:13] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 10:04:13] [INFO] 📍 Запрос от 127.0.0.1: GET /teachers
[2025-11-28 10:04:13] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 10:04:13] [INFO] 📍 Запрос от 127.0.0.1: GET /teachers
[2025-11-28 10:04:21] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 10:04:21] [INFO] 📍 Запрос от 127.0.0.1: GET /teachers
[2025-11-28 10:04:21] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 10:04:21] [INFO] 📍 Запрос от 127.0.0.1: GET /groups
[2025-11-28 10:04:21] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 10:04:21] [INFO] 📍 Запрос от 127.0.0.1: GET /groups
[2025-11-28 10:19:37] [INFO] 🔧 Initializing ApiService...
[2025-11-28 10:19:39] [INFO] 🌐 Сервер будет слушать на всех интерфейсах
[2025-11-28 10:19:39] [INFO] 🚀 Сервер запущен на 0.0.0.0:5000
[2025-11-28 10:39:29] [INFO] 🔧 Initializing ApiService...
[2025-11-28 10:39:30] [INFO] 🌐 Сервер будет слушать на всех интерфейсах
[2025-11-28 10:39:30] [INFO] 🚀 Сервер запущен на 0.0.0.0:5000
[2025-11-28 10:43:36] [INFO] 🔗 Поступил запрос от IP: 192.168.0.176
